Soil,Temperature,Humidity,ph,Rainfall,Crops,Ca,Mg,K,S,N,Lime,C,P,Moisture,Location
Sandy loam,53.85012227,60.93848048,7.44435959,88.91087734,Adzuki Beans,2.282,20.34,58.98,10,191.52,5.45,0.64,21,0.8,Kodagu
Sandy loam,52.93273827,40.63185709,5.525960194,54.71589837,Adzuki Beans,1.564,4.904,193.09,13,287.28,5.44,2.03,210,0.8,Kodagu
Sandy loam,51.38017419,46.58741844,6.965966879,54.18396531,Adzuki Beans,1.308,5.673,183.78,14,319.2,4.62,2.17,198,0.9,Kodagu
Sandy loam,53.76732179,47.69836276,6.25329917,74.33610894,Adzuki Beans,2.179,29.9,209.46,12,266.0,4.52,2.12,218,0.7,Kodagu
Sandy loam,54.24206002,50.68285693,5.779227118,103.0379121,Adzuki Beans,2.077,28.75,55.12,12,191.52,4.7,0.62,20,0.6,Kodagu
Sandy loam,50.23774196,64.32193916,5.26453007,128.4333007,Adzuki Beans,2.128,29.33,53.88,3,191.52,5.28,0.61,214,0.8,Kodagu
Sandy loam,53.61354562,64.51127839,5.464839384,67.56692876,Adzuki Beans,1.282,6.683,54.29,12,212.8,5.09,0.58,19,0.5,Kodagu
Sandy loam,53.67825326,49.62220216,5.841431861,58.99526706,Adzuki Beans,2.333,29.28,222.06,10,266.0,5.1,2.02,235,0.6,Kodagu
Sandy loam,51.57606539,61.91816323,6.746197598,128.8673259,Adzuki Beans,1.974,25.1,216.28,17,244.72,4.71,2.02,242,0.6,Kodagu
Sandy loam,51.73566612,41.08352444,5.576468162,158.4218823,Adzuki Beans,2.179,28.37,200.05,15,287.28,4.71,1.93,238,0.8,Kodagu
Sandy loam,54.34541642,48.83429512,6.832060715,72.07777374,Adzuki Beans,1.821,16.15,112.51,16,223.44,4.9,1.13,247,0.8,Kodagu
Sandy loam,53.93089691,62.60631427,6.359320069,126.1384881,Adzuki Beans,1.872,26.44,212.91,14,276.64,4.69,1.96,253,0.8,Kodagu
Sandy loam,53.62724661,45.80668187,7.400674878,102.6139108,Adzuki Beans,1.846,28.56,204.29,16,297.92,4.7,2.16,257,0.8,Kodagu
Sandy loam,50.21135004,64.07926823,5.840523182,138.0795516,Adzuki Beans,2.128,28.46,193.58,14,308.56,4.59,2.1,242,0.7,Kodagu
Sandy loam,53.04569974,43.86143647,7.080592804,77.18606837,Adzuki Beans,2.205,30.0,202.64,10,297.92,4.71,2.13,253,0.5,Kodagu
Sandy loam,53.93736613,50.53310831,5.323777601,65.42757621,Adzuki Beans,2.179,30.67,203.9,11,319.2,4.6,1.87,261,0.8,Kodagu
Sandy clay loam,54.25667448,63.20938558,6.887801048,154.0631858,Adzuki Beans,2.333,28.56,216.61,10,329.84,4.63,2.16,239,0.6,Kodagu
Sandy clay loam,54.07611998,58.98447775,6.286457433,173.3279708,Adzuki Beans,1.538,8.365,54.74,2,191.52,5.05,0.55,55,0.8,Kodagu
Sandy clay loam,54.86327014,40.45046037,5.036324711,162.0159994,Adzuki Beans,2.359,29.47,215.08,4,287.28,4.63,0.56,211,0.8,Kodagu
Sandy clay loam,52.41141567,53.6870061,5.722983932,63.19566861,Adzuki Beans,2.462,31.11,230.46,3,223.44,4.63,0.5,119,0.6,Kodagu
Sandy loam,25.29954705,81.77527562,6.37620108,57.04147057,watermelon,4.782,28.16,570.14,25,228.8,7.01,0.66,183,0.6,Kodagu
Sandy loam,24.74631269,88.30866319,6.581587932,57.95826144,watermelon,3.674,26.05,560.17,50,218.4,6.79,0.73,195,0.7,Kodagu
Sandy loam,26.58740671,81.32563243,6.932739726,41.87540028,watermelon,5.084,23.58,472.64,20,208.0,6.39,0.71,235,0.9,Kodagu
Sandy loam,24.53442564,88.989272,6.140099215,49.11618732,watermelon,2.5,32.14,590.14,17,228.8,7.12,0.79,194,0.6,Kodagu
Sandy loam,26.0713757,88.7285657,6.467095849,57.79652846,watermelon,3.574,12.8,264.5,17,218.4,6.26,0.68,269,0.7,Kodagu
Sandy loam,25.96534238,89.77076659,6.849471704,59.46338556,watermelon,4.849,14.55,327.13,45,176.8,5.85,0.72,255,0.9,Kodagu
Sandy loam,26.22338015,85.34866045,6.512196212,54.60159289,watermelon,3.909,23.46,601.09,55,228.8,6.59,0.67,192,0.7,Kodagu
Sandy loam,24.41311871,89.81574032,6.039584629,44.07843475,watermelon,5.252,17.92,369.1,50,208.0,6.19,0.61,226,0.9,Kodagu
Sandy loam,26.49195283,80.04678201,6.057697106,57.72799157,watermelon,5.52,15.81,280.77,52,239.2,5.95,0.79,238,0.6,Kodagu
Sandy loam,24.04355803,84.18406764,6.423898762,53.78929956,watermelon,4.144,23.89,537.14,55,208.0,6.48,0.72,239,0.6,Kodagu
Sandy loam,25.5421695,83.31883376,6.936997681,57.57343233,watermelon,2.366,26.72,598.19,50,228.8,6.97,0.78,188,0.7,Kodagu
Sandy loam,26.74550678,83.9195902,6.251286661,40.794305,watermelon,2.701,29.31,566.5,55,208.0,7.04,0.72,189,0.9,Kodagu
Sandy loam,25.7131428,80.22972777,6.190015912,43.08961827,watermelon,4.581,17.74,369.59,50,208.0,6.33,0.63,229,0.8,Kodagu
Sandy loam,25.76484262,84.1726996,6.681606702,44.22066914,watermelon,4.614,17.44,390.98,45,228.8,6.33,0.65,246,0.9,Kodagu
Sandy loam,26.79489868,89.64815231,6.51075991,57.74091817,watermelon,4.782,16.3,307.59,57,187.2,6.01,0.73,250,0.6,Kodagu
Sandy loam,24.9004602,89.73524177,6.770278088,57.44942094,watermelon,2.466,29.25,576.48,45,239.2,6.93,0.77,192,0.7,Kodagu
Sandy loam,26.80750629,88.22874955,6.429788073,58.79889057,watermelon,3.943,19.49,488.83,47,218.4,6.51,0.59,240,0.7,Kodagu
Sandy loam,25.11189154,80.02621335,6.209888345,44.20656987,watermelon,4.681,16.17,429.93,52,218.4,6.29,0.52,236,0.7,Kodagu
Sandy loam,26.2148837,87.6883982,6.419052193,59.65590798,watermelon,2.265,24.07,595.14,42,187.2,7.02,0.7,172,0.5,Kodagu
Sandy loam,24.9103226,86.97190046,6.237861736,49.48575692,watermelon,4.916,15.03,324.17,56,197.6,6.01,0.8,229,0.8,Kodagu
